0,1,2
-3.7971117,-11.926798,-2.9460187
-3.683314,0.52071905,-5.7601376
-6.1855555,-1.3159984,-10.218328
-5.8475933,-9.726294,-0.56085414
-7.2310233,-8.153429,-1.0575064
-3.5277293,-0.099437505,-10.631884
-5.4201717,-11.433584,-6.716358
-5.3860817,-14.390594,-1.6037012
-4.4627976,-14.149034,-2.2307556
-3.0712378,-11.818879,-0.8381991
-2.8105633,-9.715945,-1.8345178
-3.8609216,-13.036766,-2.5077682
-4.1179347,-7.9702845,-8.773619
-2.1048791,-12.089419,-1.5724515
-4.2099776,-14.336438,-2.1282723
-3.7997053,-13.0474825,-2.8880017
-4.814825,-9.076655,-9.27199
-3.9266052,-9.191773,-4.451732
-2.6566849,-10.708346,-1.6649698
-3.7525334,-13.007809,-2.3686638
-5.394775,-10.443504,-7.549679
-3.188,-13.556774,-1.8049221
-2.736963,-8.323612,-3.26579
-1.8826066,-10.831346,-1.5392935
-3.354784,-8.579902,-0.8403118
-1.9385049,-12.507103,-2.1681075
0.23432194,1.4309664,-8.090686
-2.5598245,-13.221723,-1.5186324
-4.812265,-9.167455,-9.407416
-5.8515477,-13.365467,-3.4963565
-4.52426,-9.927382,-8.751601
-4.911875,-8.91799,-10.553948
-5.377777,-14.77638,-2.3082771
-0.19822702,-7.528051,7.158975
8.722887,3.5066202,1.0084245
19.153725,-3.6204176,6.075676
5.3681326,0.24575748,0.2395913
8.780014,4.1826305,-0.416351
10.960553,5.942277,0.1450923
20.226877,2.712222,0.06963387
14.478796,5.394016,1.2562702
13.027851,10.875772,0.44035122
8.773384,3.7728066,0.4661994
9.617594,2.3116548,3.2652788
15.20609,4.0672526,0.6423498
10.706956,5.867225,0.43851048
5.075225,4.2318377,-5.0811577
2.995155,-1.4958311,1.5928876
3.3007658,4.857861,-3.1664307
5.495206,2.238607,-1.5759071
7.042067,1.3181075,1.3045737
7.278357,2.5088363,-2.2290957
11.255945,2.6221297,12.562823
18.869944,10.342309,-1.0486408
21.25074,-1.9677718,3.2686365
12.964066,5.3259854,1.6649865
8.664103,7.2110705,-0.36807242
8.767752,5.6969733,-1.1726427
8.746235,5.535566,-1.2870947
5.372723,-0.210729,-5.098165
3.8981044,0.06232063,0.47926244
7.14982,1.391521,-3.9762745
8.30695,5.000351,-1.57656
14.976715,5.3562045,0.4282064
11.074385,6.3471565,0.44206178
16.023308,4.30189,0.95234334
11.494641,6.8919926,1.0202457
12.06663,15.726491,1.8339839
18.543293,9.553234,-2.0873864
17.142412,6.7528133,0.90040255
17.571028,8.712946,-2.5338912
6.0611157,12.682182,0.7733687
9.425406,4.28199,0.45090678
8.757777,3.877072,0.29517645
7.3438883,3.6280105,-3.5915208
10.145659,4.8293066,-1.8662944
9.673564,4.808336,-1.3339493
13.795313,6.240853,0.44369072
8.976418,1.7335196,-6.319987
13.01241,-8.48966,5.064204
7.942445,2.322826,0.93688744
13.011142,6.7010827,0.38353288
13.702812,3.859101,1.7410902
15.0587435,4.807104,2.4302678
14.314927,5.586327,0.8739137
13.456198,3.795434,1.2078106
14.482475,0.8940773,3.2888176
16.801712,3.4369428,-0.20125936
20.889832,4.110972,1.164161
10.800516,4.492272,-6.3574734
19.508703,4.45918,2.2078276
20.120045,3.5691297,-1.9358327
16.820297,1.7180386,-4.9913635
14.257626,2.7093818,-6.445478
9.956993,7.768131,-12.455288
17.088463,4.2691293,-5.0523825
17.279018,3.52599,0.026700161
13.1557255,-0.18364048,-5.7270184
8.948343,6.2198224,-7.921004
14.681579,1.7933167,-1.8554889
9.157744,8.02159,0.59756386
16.576544,3.8368979,-1.4884852
13.952082,7.7408,1.2556275
13.963427,4.4423966,-1.8871919
9.247843,4.332026,0.46092206
13.733981,3.7395205,-9.126004
13.35389,3.7044902,-8.797771
16.67668,3.643613,5.7726383
18.898005,-1.2487231,-1.3861083
14.100601,2.7926128,-6.6780763
15.2856865,1.459741,-4.1672287
14.674843,2.1405504,-1.6729016
6.5157495,6.585404,-13.983704
9.260331,2.4814146,-9.330113
13.947964,4.2624516,-2.617863
11.729162,3.268622,12.267372
16.93618,2.6517158,3.8555515
